"","district","postcode","n","per_of_district","per_of_postcode"
"247","COOTAMUNDRA","2671",3146,5.43191118324499,96.2079510703364
"248","COOTAMUNDRA","2663",2869,4.95364055458674,100
"249","COOTAMUNDRA","2810",2767,4.77752646027937,99.8916967509025
"250","COOTAMUNDRA","2586",2751,4.74990071999586,100
"251","COOTAMUNDRA","2722",2414,4.16803356527444,94.481409001957
"252","COOTAMUNDRA","2665",2286,3.94702764300637,97.6505766766339
"253","COOTAMUNDRA","2587",2275,3.92803494656146,100
"254","COOTAMUNDRA","2701",1879,3.24429787454461,100
"255","COOTAMUNDRA","2652",1222,2.10991591415301,28.6048689138577
"256","COOTAMUNDRA","2669",1170,2.02013225823161,70.059880239521
"257","COOTAMUNDRA","2793",941,1.62473885042388,100
"258","COOTAMUNDRA","2702",730,1.26042440043511,90.6832298136646
"259","COOTAMUNDRA","2668",509,0.878843862769135,100
"260","COOTAMUNDRA","2804",470,0.811506120828082,23.7373737373737
"261","COOTAMUNDRA","2807",460,0.794240033150888,100
"262","COOTAMUNDRA","2727",341,0.588773589792289,99.7076023391813
"263","COOTAMUNDRA","2725",335,0.578413937185973,100
"264","COOTAMUNDRA","2650",326,0.562874458276499,0.86741345821249
"265","COOTAMUNDRA","2805",309,0.533522109225271,91.4201183431953
"266","COOTAMUNDRA","2721",287,0.495536716335446,100
"267","COOTAMUNDRA","2803",281,0.48517706372913,100
"268","COOTAMUNDRA","2588",267,0.461004540981059,100
"269","COOTAMUNDRA","2808",262,0.452371497142462,100
"270","COOTAMUNDRA","2729",209,0.360861232453338,15.9541984732824
"271","COOTAMUNDRA","2585",205,0.353954797382461,100
"272","COOTAMUNDRA","2726",204,0.352228188614742,100
"273","COOTAMUNDRA","2809",195,0.336688709705268,100
"274","COOTAMUNDRA","2582",89,0.15366818032702,1.09714003944773
"275","COOTAMUNDRA","2583",80,0.138128701417546,1.91113234591495
"276","COOTAMUNDRA","2792",44,0.0759707857796502,7.84313725490196
"277","COOTAMUNDRA","2799",34,0.058704698102457,1.13107119095143
"278","COOTAMUNDRA","2705",30,0.0517982630315797,0.446096654275093
"279","COOTAMUNDRA","2871",11,0.0189926964449125,0.179973821989529
"280","COOTAMUNDRA","2584",6,0.0103596526063159,1
"281","COOTAMUNDRA","2797",5,0.00863304383859661,1.30208333333333
"282","COOTAMUNDRA","2720",2,0.00345321753543864,0.0366905155017428
"283","CRONULLA","2230",19808,43.8559978745074,93.0914559639064
"284","CRONULLA","2229",15364,34.0167382544392,80.5536622450585
"285","CRONULLA","2227",3485,7.71598104769074,47.6744186046512
"286","CRONULLA","2232",3017,6.67980339193199,14.699863574352
"287","CRONULLA","2228",2214,4.90191737147412,16.087777939253
"288","CRONULLA","2231",1278,2.8295620599566,100
"289","DAVIDSON","2075",9667,22.8539681789168,99.7523475389537
"290","DAVIDSON","2070",7287,17.2273576207475,100
"291","DAVIDSON","2071",6305,14.9057897349819,100
"292","DAVIDSON","2072",5634,13.3194638171115,100
